Gmt time,Open,High,Low,Close,Volume
24.12.2017 22:00:00.000,1.33449,1.35440,1.33449,1.34944,585058.9981999997
31.12.2017 22:00:00.000,1.35065,1.36124,1.34945,1.35640,649558.9388999997
07.01.2018 22:00:00.000,1.35556,1.37440,1.34579,1.37277,823675.3405999999
14.01.2018 22:00:00.000,1.37279,1.39449,1.37253,1.38479,995818.8584999999
21.01.2018 22:00:00.000,1.38879,1.43451,1.38569,1.41562,1257174.9174000002
28.01.2018 22:00:00.000,1.41347,1.42781,1.39798,1.41213,1305554.1669000003
04.02.2018 22:00:00.000,1.41001,1.41501,1.37642,1.38239,1473681.7333000004
11.02.2018 22:00:00.000,1.38081,1.41444,1.37958,1.40298,1194286.3185
18.02.2018 22:00:00.000,1.40108,1.40488,1.38565,1.39656,1075477.2605999997
25.02.2018 22:00:00.000,1.39844,1.40696,1.37115,1.37980,909400.8675000002
04.03.2018 22:00:00.000,1.37886,1.39291,1.37664,1.38447,889133.9062000003
11.03.2018 21:00:00.000,1.38500,1.39955,1.38410,1.39432,745019.9233999997
18.03.2018 21:00:00.000,1.39353,1.42175,1.39128,1.41305,833990.5910000001
25.03.2018 21:00:00.000,1.41326,1.42442,1.40088,1.40088,668205.8867
01.04.2018 21:00:00.000,1.40224,1.41055,1.39652,1.40814,667624.1982999998
08.04.2018 21:00:00.000,1.40866,1.42961,1.40782,1.42372,605250.2289999999
15.04.2018 21:00:00.000,1.42397,1.43763,1.39965,1.40002,616223.8512000002
22.04.2018 21:00:00.000,1.39990,1.40307,1.37470,1.37785,592636.3987
29.04.2018 21:00:00.000,1.37711,1.37922,1.34861,1.35253,703084.6676000002
06.05.2018 21:00:00.000,1.35327,1.36174,1.34598,1.35407,710210.2683000002
13.05.2018 21:00:00.000,1.35393,1.36079,1.34511,1.34679,1238850.0035000003
20.05.2018 21:00:00.000,1.34590,1.34911,1.32928,1.32946,783576.6388999996
27.05.2018 21:00:00.000,1.33138,1.33617,1.32044,1.33449,827119.8589000003
03.06.2018 21:00:00.000,1.33310,1.34722,1.32947,1.34081,687708.6703
10.06.2018 21:00:00.000,1.34058,1.34463,1.32110,1.32763,714785.1614000001
17.06.2018 21:00:00.000,1.32557,1.33146,1.31018,1.32593,817403.9305000002
24.06.2018 21:00:00.000,1.32490,1.32918,1.30495,1.32040,974695.1556000002
01.07.2018 21:00:00.000,1.31825,1.32898,1.30950,1.32844,809446.746
08.07.2018 21:00:00.000,1.33179,1.33625,1.31025,1.32323,855812.3901999997
15.07.2018 21:00:00.000,1.32272,1.32928,1.29574,1.31287,849772.0604999998
22.07.2018 21:00:00.000,1.31229,1.32132,1.30714,1.30967,733275.5116999997
29.07.2018 21:00:00.000,1.30989,1.31726,1.29753,1.30011,666635.5996999999
05.08.2018 21:00:00.000,1.29948,1.30074,1.27228,1.27663,679025.8099999997
12.08.2018 21:00:00.000,1.27421,1.28271,1.26617,1.27466,732683.0101999999
19.08.2018 21:00:00.000,1.27420,1.29362,1.27293,1.28452,642914.3616
26.08.2018 21:00:00.000,1.28365,1.30433,1.28287,1.29528,686558.5725999997
02.09.2018 21:00:00.000,1.29095,1.30278,1.27851,1.29137,728089.7607000001
09.09.2018 21:00:00.000,1.29179,1.31435,1.28967,1.30664,692618.034
16.09.2018 21:00:00.000,1.30683,1.32980,1.30558,1.30764,788415.1882
23.09.2018 21:00:00.000,1.30775,1.32171,1.30002,1.30278,692679.2870000005
30.09.2018 21:00:00.000,1.30371,1.31226,1.29220,1.31136,796690.3608
07.10.2018 21:00:00.000,1.31230,1.32575,1.30279,1.31516,885065.4212999996
14.10.2018 21:00:00.000,1.30854,1.32362,1.30109,1.30666,761043.1487999998
21.10.2018 21:00:00.000,1.30703,1.30899,1.27772,1.28260,837874.2495000002
28.10.2018 21:00:00.000,1.28212,1.30406,1.26905,1.29617,758468.9369999998
04.11.2018 22:00:00.000,1.30210,1.31744,1.29580,1.29729,781217.0095
11.11.2018 22:00:00.000,1.29130,1.30718,1.27232,1.28261,1018534.8726999997
18.11.2018 22:00:00.000,1.28443,1.29270,1.27638,1.28006,729583.7413999999
25.11.2018 22:00:00.000,1.28215,1.28637,1.27249,1.27509,834085.2394999999
02.12.2018 22:00:00.000,1.27644,1.28394,1.26582,1.27296,831884.4810000001
09.12.2018 22:00:00.000,1.27048,1.27598,1.24766,1.25813,879714.8590999995
16.12.2018 22:00:00.000,1.26008,1.27073,1.25629,1.26247,1205318.7208000002
23.12.2018 22:00:00.000,1.26452,1.27382,1.26157,1.26943,888192.6304
30.12.2018 22:00:00.000,1.26918,1.28145,1.24250,1.27170,934890.5943999998
06.01.2019 22:00:00.000,1.27187,1.28655,1.27066,1.28347,1154156.3731
13.01.2019 22:00:00.000,1.28516,1.30006,1.26688,1.28696,1157547.3713000002
